A liquid changing to a solid, A solid changing to a liquid, and a liquid changing into a gas are all examples of <span class="blank"> </span> 	solid liquid	examples of	changing	changing liquid gas		A liquid changing to a solid, A solid changing to a liquid, and a liquid changing into a gas are all examples of
What causes sunflowers to bend toward the sunlight? 			bend			What causes sunflowers to bend toward the sunlight?
<span class="blank"> </span> is a process in the water cycle, where water vapor rises into the atmosphere. 			process in the water cycle	the		is a process in the water cycle, where water vapor rises into the atmosphere.
When two substances are combined, this may occur: 	substances		combined			When two substances are combined, this may occur:
To take in light 			take in light			To take in light
The bending of light as it passes from one material into another is 	light		bending	another		The bending of light as it passes from one material into another is
When light strikes a surface and bounces off, what occurs? 			strikes a surface and bounces off			When light strikes a surface and bounces off, what occurs?
During <span class="blank"> </span>, a light ray changes direction as it passes from one material to another. 			changes direction		as it passes from one material to another	During , a light ray changes direction as it passes from one material to another.
What is the name of the process by which most cells divide? 	cells		process | divide			What is the name of the process by which most cells divide?
Magnets contain a force that <span class="blank"> </span> certain metals like iron. 			force			Magnets contain a force that  certain metals like iron.
The process of change from an egg to an adult butterfly is ____________. 			process of change	adult		The process of change from an egg to an adult butterfly is .
The process of change from an egg to an adult butterfly is an example of: 			process of change	adult		The process of change from an egg to an adult butterfly is an example of:
<span class="blank"> </span>is the spinning of a planet on its axis. 			spinning		on its axis	is the spinning of a planet on its axis.
The spinning of a planet around an imaginary line through its center is called <span class="blank"> </span> 			spinning		around an imaginary line through its center	The spinning of a planet around an imaginary line through its center is called
To move in a circle around an object is to <span class="blank"> </span> 			move in a circle around an object			To move in a circle around an object is to
The path Earth makes around the sun is called the 		Earth sun	path Earth makes around the sun			The path Earth makes around the sun is called the
When a planet moves around the sun, this is called a 			moves		around the sun	When a planet moves around the sun, this is called a
The movement of an object all the way around another planet is called 	object		movement	is	all the way around another planet	The movement of an object all the way around another planet is called
To change from a solid into a liquid is to 			change	liquid		To change from a solid into a liquid is to
Being able to tell different sounds apart is called 			tell different sounds apart			Being able to tell different sounds apart is called
A long and strong beak that tears flesh is 			tears			A long and strong beak that tears flesh is
A characteristic of an organism that increases its chances of survival in its environment. 	organism	environment	characteristic	chances survival		A characteristic of an organism that increases its chances of survival in its environment.
What process produces sex cells? 			process | produces	cells		What process produces sex cells?
<span class="blank"> </span>is the process of liquid water turning into water vapor. 			process	water vapor		is the process of liquid water turning into water vapor.
<span class="blank"> </span> is the process of changing liquid water to water vapor. 	liquid water		process of changing	water vapor		is the process of changing liquid water to water vapor.
<span class="blank"> </span> is the process of liquid water turning into water vapor 			process	water vapor		is the process of liquid water turning into water vapor
The process of changing from a liquid state to a gas state 	liquid		process of changing	gas state		The process of changing from a liquid state to a gas state
Babies will <span class="blank"> </span> or get traits from their parents. 						Babies will  or get traits from their parents.
Terracing a hillside can slow __________________________. 			terracing			Terracing a hillside can slow .
Rain, sleet, hail, and snow are all part of the <span class="blank"> </span> process in the water cycle. 			process in the water cycle			Rain, sleet, hail, and snow are all part of the  process in the water cycle.
When an object spins on its axis, it <span class="blank"> </span>. 	object		spins			When an object spins on its axis, it .
When an object orbits another object, it <span class="blank"> </span>. 	object		orbits another object			When an object orbits another object, it .
The process of change from an egg to an adult butterfly is ____________. 			process of change	adult		The process of change from an egg to an adult butterfly is .
The process of change from an egg to an adult butterfly is an example of: 			process of change	adult		The process of change from an egg to an adult butterfly is an example of:
